subject,task,retrieval_type,block,trial,stim,resp,rt,error,delta_s,delta_r,has_lag
813125,color,passive,4,29,96.0,101.8787004833304,2.878048399999898,5.8787004833304195,48.0,51.18657715788379,True
813125,color,active,4,32,232.0,215.36246188706903,4.159695399999691,-16.63753811293097,-136.0,-130.12129951666958,True
813125,color,active,4,33,242.0,237.8317790425301,2.809994299999744,-4.168220957469913,-10.0,-26.63753811293097,True
813125,color,active,4,34,6.0,11.200797787884431,4.845214800000122,5.200797787884426,-124.0,-128.16822095746988,True
813125,color,active,4,35,172.0,179.3657552855739,3.6930578999999852,7.365755285573897,-166.0,-160.79920221211557,True
813125,color,passive,4,39,320.0,307.66562119858327,5.05982719999929,-12.334378801416733,-148.0,-140.6342447144261,True
813125,color,passive,4,40,12.0,289.54854943235506,4.727344299999459,-82.45145056764494,-52.0,-64.33437880141673,True
813125,color,passive,4,41,14.0,334.8797882576857,4.259904799999276,-39.120211742314325,-2.0,-84.45145056764494,True
813125,color,passive,4,43,284.0,283.94572888364723,3.161256100000628,-0.0542711163527656,90.0,50.879788257685675,True
813125,color,active,4,47,40.0,38.00807465333221,3.526975799999491,-1.9919253466677844,-116.0,-116.05427111635277,True
813125,color,active,4,48,238.0,239.4929138302421,2.6953592999993816,1.4929138302420881,162.0,160.0080746533322,True
813125,color,passive,4,49,114.0,119.28743968317542,2.576513599999089,5.287439683175421,124.0,125.49291383024206,True
813125,color,active,4,50,230.0,219.44506307986447,4.194951400000718,-10.554936920135532,-116.0,-110.71256031682458,True
813125,color,passive,4,51,66.0,58.240519915187214,2.8100982999985717,-7.759480084812793,164.0,153.44506307986444,True
813125,color,passive,4,52,336.0,55.94130662590673,5.476978400000007,79.94130662590675,90.0,82.24051991518724,True
813125,color,passive,4,56,132.0,125.78107386189257,2.843549000000621,-6.2189261381074346,-156.0,-76.05869337409327,True
813125,color,passive,4,57,240.0,281.7413684424528,3.1446477999998024,41.741368442452824,-108.0,-114.21892613810743,True
813125,color,passive,4,58,124.0,143.48708078488826,2.312496299999111,19.487080784888263,116.0,157.74136844245282,True
813125,color,active,4,60,40.0,40.51539399045538,3.0278698000001896,0.5153939904553795,84.0,103.48708078488824,True
813125,color,passive,5,4,158.0,154.64393353864298,2.82654729999922,-3.356066461357017,,,False
813125,color,active,5,6,258.0,274.5247684728342,2.2775035000013304,16.524768472834182,-100.0,-103.35606646135702,True
813125,color,active,5,7,40.0,37.77568430595466,3.745669399999315,-2.2243156940453446,-142.0,-125.47523152716582,True
813125,color,active,5,8,256.0,271.8344690323918,3.0947472000002563,15.83446903239178,144.0,141.77568430595466,True
813125,color,passive,5,10,138.0,128.57125225117014,2.9941412000007404,-9.428747748829863,118.0,133.83446903239178,True
813125,color,passive,5,11,356.0,0.5321436413075533,2.3433350000000246,4.532143641307528,142.0,132.5712522511701,True
813125,color,active,5,12,60.0,48.30186567443501,3.5761633000001893,-11.698134325564979,-64.0,-59.467856358692444,True
813125,color,active,5,17,174.0,183.35487873928733,3.2290881000003537,9.35487873928733,-114.0,-125.698134325565,True
813125,color,active,5,19,292.0,295.9112047598542,7.658963399999266,3.911204759854172,-118.0,-108.64512126071267,True
813125,color,passive,5,20,222.0,222.01706181820768,2.994068600000901,0.01706181820767938,70.0,73.91120475985417,True
813125,color,active,5,21,346.0,331.56373522528247,5.243447999999262,-14.436264774717529,-124.0,-123.98293818179232,True
813125,color,passive,5,24,316.0,300.3964901222156,2.52787810000018,-15.603509877784404,30.0,15.563735225282471,True
813125,color,active,5,25,126.0,134.74980167980246,3.726345899998705,8.74980167980246,-170.0,174.3964901222156,True
813125,color,active,5,29,268.0,270.6182757795167,2.459651200000735,2.6182757795166935,-142.0,-133.25019832019754,True
813125,color,active,5,35,188.0,192.33296266268803,2.8114124000007905,4.332962662688033,80.0,82.6182757795167,True
813125,color,passive,5,37,28.0,41.05948449562097,2.610158899999078,13.059484495620978,160.0,164.33296266268803,True
813125,color,passive,5,39,342.0,37.92646232503863,6.660285599999497,55.92646232503864,46.0,59.05948449562095,True
813125,color,active,5,44,276.0,277.5238204386386,3.144610499999544,1.5238204386386087,66.0,121.92646232503864,True
813125,color,active,5,45,286.0,288.2611502270215,3.227275200000804,2.261150227021517,-10.0,-8.476179561361391,True
